confirmed,memo_name,date,mm1,mm2,river,location_description,memo
Y,SEC LMR BNM 0089-23 UPDATE-2,12/29/2023 11:16,379.1,389.1,LMR,,"P R 291610Z DEC 23FM COMCOGARD SECTOR LOWER MISSISSIPPI RIVER MEMPHIS TNTO CCGDEIGHT NEW ORLEANS LAINFO NGA NAVSAFETY WASHINGTON DCCOGARD NAVCEN ALEXANDRIA VAUSCGC KANKAKEEUSCGC KANAWHAUSCGC CHENAUSCGC KICKAPOOUSCGC GREENBRIERUSCGC PATOKACOGARD ANT COLFAX LABTUNCLASSUBJ: BROADCAST NOTICE TO MARINERSSEC LMR BNM 0089-23 UPDATE 02MM 663 - 540.2 LMRA. SHOALING HAS BEEN REPORTED IN THE FOLLOWING LOCATIONS ALONG THE LOWERMISSISSIPPI RIVER:1. MM 663 LMR, SHOALING HAS BEEN REPORTED 600 FT OFF THE LDB.2. MM 540.2 LMR, SHOALING HAS BEEN REPORTED APPROXIMATELY 150 FT OFF THE REDBUOY LINE.3. SHAOLING HAS BEEN REPORTED FROM MM 379.1-389.1 LMR.B. ALL MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION. BT"
Y,SEC LMR BNM 0001-24,1/5/2024 11:25,580,,LMR,"500ft off RDB, near Arkansas confluence","THE COAST GUARD HAS RECEIVED REPORTS OF HAZARDS TO NAVIGATION ALONG THE LOWER MISSISSIPPI RIVER IN THE FOLLOWING LOCATIONS: MM 580 LMR, SHOALING HAS BEEN REPORTED NEAR THE ARKANSAS RIVER CONFLUENCE, 500 FT OFF THE RDB. MM 453.5 LMR, A SUBMERGED OBJECT HAS BEEN REPORTED IVO THE RDB. MM 409 LMR, CROSS-CHANNEL SHOALING HAS BEEN REPORTED. B. MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION.  BT"
Y,SEC LMR BNM 0001-24,1/5/2024 11:25,409,,LMR,cross channel shoaling,"THE COAST GUARD HAS RECEIVED REPORTS OF HAZARDS TO NAVIGATION ALONG THE LOWER MISSISSIPPI RIVER IN THE FOLLOWING LOCATIONS: MM 580 LMR, SHOALING HAS BEEN REPORTED NEAR THE ARKANSAS RIVER CONFLUENCE, 500 FT OFF THE RDB. MM 453.5 LMR, A SUBMERGED OBJECT HAS BEEN REPORTED IVO THE RDB. MM 409 LMR, CROSS-CHANNEL SHOALING HAS BEEN REPORTED. B. MARINERS ARE ADVISED TO TRANSIT THESE AREAS WITH CAUTION.  BT"
Y,SEC LMR BNM 0015-24,7/27/2024 21:40,520.5,,LMR,30-50ft inside RDB,A. SHOALING HAS BEEN REPORTED ON THE LMR AT THE FOLLOWING LOCATIONS:1. MM 520.5 LMR 30-50 FEET INSIDE THE GREEN BUOY LINEB. ALL MARINERS ARE ADVISED TO PROCEED WITH CAUTION WHILE TRANSITING THE AREA.FOR QUESTIONS OR CONCERNS PLEASE CONTACT WESTERN RIVERS COMMAND CENTER AT 314-269-2332. BT
Y,SEC LMR BNM 0017-24,8/5/2024 21:29,685,686,LMR,RDB,A. SHOALING HAS BEEN REPORTED ON THE LMR AT THE FOLLOWING LOCATIONS:1. BETWEEN MM 685 AND 686 LMR ON THE RIGHT DECENDING BANK.B. ALL MARINERS ARE ADVISED TO PROCEED WITH CAUTION WHILE TRANSITING THE AREA.FOR QUESTIONS OR CONCERNS PLEASE CONTACT WESTERN RIVERS COMMAND CENTER AT 314-269-2332. BT
Y,SEC LMR BNM 0021-24,8/21/2024 11:28,527.2,,LMR,cross channel shoaling,1. THE COAST GUARD RECEIVED A REPORT OF CROSS-CHANNEL SHOALING AT MM 527.2 LMR.2. MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION.CANCEL OR UPDATE AT 041504Z SEP 24 BT
Y,SEC LMR BNM 0028-24,9/11/2024 13:18,518,519,LMR,LDB,LMR1. CG RCVD RPT OF SHOALING BETWEEN MM 518 AND 519 ON THE LMR ALONG LDB2. MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION. BT
Y,SEC LMR BNM 0037-24,10/23/2024 20:50,334,335,LMR,RDB,1. MARINERS ARE ADVISED TO TRANSIT MM 334-335 FOLLOWING THE GREEN LINE DUE TO SHOALING ALONG THE RED LINE BT
Y,SEC LMR BNM 0050-24,12/13/2024 17:46,696,,LMR,RDB,LOWER MISSISSIPPI RIVER1. THE COAST GUARD RECEIEVED A REPORT OF SHOALING AT MILE 696 ALONG THE GREEN BUOY LINE.2. MARINERS ARE ADVISED TO TRANSIT THE AREA WITH CAUTION.BT
Y,SEC LMR BNM 0055-25,8/5/2025 9:34,519.8,,LMR,150ft from RDB,LMR 519.81. Coast Guard received a report of shoaling IVO MM 519.8 LMR approx. 150 feet from the green buoy line.2. All mariners are requested to transit the area with caution.BT
Y,SEC LMR BNM 0086-25,10/14/2025 1:45,319,,LMR,RDB,P R 140127Z OCT 25FM COMCOGARD SECTOR LOWER MISSISSIPPI RIVER MEMPHIS TNTO CCGDEIGHT NEW ORLEANS LAINFO COGARD ANT COLFAX LACOGARD NAVCEN ALEXANDRIA VANGA NAVSAFETY WASHINGTON DCUSCGC CHENAUSCGC GREENBRIERUSCGC KANAWHAUSCGC KANKAKEEUSCGC KICKAPOOUSCGC MUSKINGUMUSCGC PATOKABTUNCLASSUBJ: SAFETY BROADCAST NOTICE TO MARINERSSEC LMR BNM 086-25LMR MM 3191. COAST GUARD RECEIVED A REPORT OF SHOALING IN THE VICINITY OF MM 319 ON THE LMR ALONG THE RIGHT DESCENDING SIDE.2.ALL MARINERS ARE REQUESTED TO TRANSIT THE AREA WITH CAUTION. BT
Y,SEC LMR BNM 0092-25,10/24/2025 19:41,518,,LMR,RDB,LMR MM 5181. COAST GUARD RECEIVED REPORT OF SHOALING AT MM 518 LMR BY THE RIGHT DESCENDING BANK.2. ALL MARINERS ARE ADVISIED TO TRANSIT THE AREA WITH CAUTION AND FAVOR THE LEFT DESCENDING BANK.3. VIRTUAL BUOYS HAVE BEEN ADDED TO CHARTS BY OCT 26TH. BT
Y,SEC LMR BNM 0111-25,11/30/2025 12:18,521.8,,LMR,RDB,1. Mariners be advised of shoaling reported along the green buoy line at LMR MM 521.8. BT
